MoonSat.A1ModJulian       MoonSat.MoonInertial.INC   MoonSat.Luna.RadApo       RadApo                    INC                       I                         MAX                       MIN                       MoonSat.Luna.Altitude     
29794.50649427462         95.46576186381115          6739.059377559932         6738                      99                        2                         -26.69391826318838        10000000000000            -26.69391826318838        
29794.79158477855         95.48289685383962          6739.565824097109         6738                      99                        3                         -27.22802772338628        10000000000000            -27.22802772338628        
29794.21848818354         96.48264753219161          6738.652468662807         6738                      100                       1                         -25.95214975032013        10000000000000            -25.95214975032013        
29794.50359704913         96.49754029742444          6739.177025441887         6738                      100                       2                         -26.49863094803413        10000000000000            -26.49863094803413        
29794.78870554817         96.51454741435714          6739.753908433369         6738                      100                       3                         -27.10228606908163        10000000000000            -27.10228606908163        
29794.21559434351         97.50918235991141          6738.707192621422         6738                      101                       1                         -25.86983365518563        10000000000000            -25.86983365518563        
29794.50071268781         97.52393605749592          6739.293829055958         6738                      101                       2                         -26.47750800447784        10000000000000            -26.47750800447784        
29794.78583054159         97.54080442272216          6739.940441499824         6738                      101                       3                         -27.14990648657226        10000000000000            -27.14990648657226        
29794.21262613683         98.56641691084367          6738.764168131422         6738                      102                       1                         -25.55558433579654        10000000000000            -25.55558433579654        
29794.49776614335         98.58102671962827          6739.415039412706         6738                      102                       2                         -26.22652391994893        10000000000000            -26.22652391994893        
29794.78290552446         98.59775070114954          6740.133873300734         6738                      102                       3                         -26.97006020402819        10000000000000            -26.97006020402819        
29794.20985661201         99.55504795750063          6738.817086650114         6738                      103                       1                         -25.64796735229652        10000000000000            -25.64796735229652        
29794.49499752466         99.56950643621676          6739.527538082606         6738                      103                       2                         -26.37748486382247        10000000000000            -26.37748486382247        
29794.7801376768          99.58607776193909          6740.313160521366         6738                      103                       3                         -27.18669346218576        10000000000000            -27.18669346218576        
29794.20681741078         100.6466255354894          6738.877049145221         6738                      104                       1                         -24.89553364977564        10000000000000            -24.89553364977564        
29794.49200292642         100.6609360714857          6739.654296911929         6738                      104                       2                         -25.6907126159897         10000000000000            -25.6907126159897         
29794.77718752974         100.6773570493344          6740.515154773696         6738                      104                       3                         -26.57389096563543        10000000000000            -26.57389096563543        
