Sat.MoonMJ2000Eq.INC      Sat.Luna.RadPer           BurnDuration              
80.719865209688           2724.434007882414         0                         
80.50358750834373         2728.865960380288         0                         
80.35412413526001         2731.909880510279         0                         
80.24997632927659         2733.995733675507         0                         
80.17688002380311         2735.42190604376          0                         
80.12526104555255         2736.394018307542         0                         
80.08862210959309         2737.053477258444         0                         
80.06250928717147         2737.49756977103          0                         
80.04384204270929         2737.793320542146         0                         
80.03047130114952         2737.987007859194         0                         
80.02088689040654         2738.110638623834         0                         
80.01402018382171         2738.186383691351         0                         
80.00911032005908         2738.229610984197         0                         
80.00561276363921         2738.250967688484         0                         
80.00313592287212         2738.257819979077         0                         
80.00139715594956         2738.255251640316         0                         
80.00008154278538         2738.245540616749         0                         
79.99929898182793         2738.233296710596         0                         
79.99874208906718         2738.217946777544         0                         
79.99843842757339         2738.20387247693          0                         
